,Date,BTC_Close,BTC_Volume,S&P500_Close,50MA,100MA,RSI,macd,macdsignal,macdhist,20WMA,21WEMA,8WEMA,ETH_Close,Gold_Close,BTC_Tdy
302,2023-09-19,26754.28125,15615339655.0,4453.53,27235.092148479987,28307.53548833999,53.83904257673887,-137.1910296800961,-327.29655261824644,190.10552293815033,28011.349790785713,27293.76902931623,27133.986145180075,1637.347046,1953.4,27211.117188
303,2023-09-20,27211.117188,13807690550.0,4443.95,27194.712265679984,28320.244980529988,59.15003147114513,-56.29661330044837,-273.0965647546868,216.79995145423845,28000.85393420714,27292.652112541688,27136.69249755972,1643.544678,1953.7,27132.007813
304,2023-09-21,27132.007813,13281116604.0,4402.2,27143.83777349998,28332.54005865999,57.90755495537881,1.4130404249190178,-218.19464371876566,219.60768414368468,27987.466071485716,27290.48124362896,27136.52812266289,1622.890625,1967.1,26567.632813
305,2023-09-22,26567.632813,13371443708.0,4330.0,27092.151250079984,28339.029101629993,49.86086106063835,1.5896860453649424,-174.23777776593954,175.82746381130448,27971.179799164285,27280.713021593434,27116.56688372735,1584.307007,1939.6,26579.568359
306,2023-09-23,26579.568359,10578746709.0,4320.06,27040.169023499984,28353.578027409996,50.01903905368458,2.6620908585900906,-138.8578040410336,141.5198948996237,27950.073967685716,27271.23809372055,27097.724830228148,1593.268311,1945.6,26579.390625
307,2023-09-24,26579.390625,7404700301.0,4320.06,26990.27500005998,28363.607988349995,50.01650861703087,3.4577786312438548,-110.39468750657811,113.85246613782196,27933.465164671434,27261.888803602702,27079.537665132422,1593.857788,1945.6,26256.826172
308,2023-09-25,26256.826172,8192867686.0,4320.06,26934.568984439982,28362.901621159996,45.5160632658972,-21.689861428709264,-92.65372229100434,70.96386086229508,27917.764076500003,27248.30687614861,27050.670595197953,1580.853394,1945.6,26298.480469
309,2023-09-26,26298.480469,11997833257.0,4337.44,26879.701484439982,28360.779668039995,46.189408625375684,-37.82240061609991,-81.68745795602345,43.86505733992354,27907.79412672143,27235.471384160115,27024.277959191008,1588.322876,1936.6,26217.25
310,2023-09-27,26217.25,9985498161.0,4273.53,26820.434921939985,28359.59003913,45.02091186320633,-56.510753339938674,-76.6521170328065,20.141363692867827,27897.49751678572,27221.711635725518,26995.961188693076,1593.417236,1919.8,26352.716797
311,2023-09-28,26352.716797,11718380997.0,4274.51,26752.179414119986,28354.606914129996,47.41028782605469,-59.70215980630746,-73.26212558750669,13.559965781199224,27888.432952057145,27209.968462229226,26973.391210037178,1597.491211,1890.9,27021.546875
312,2023-09-29,27021.546875,14079002707.0,4299.7,26701.380468799984,28341.54750007,57.28150151782943,-8.168216658232268,-60.243343801651804,52.075127143419536,27888.581222142857,27207.422224563965,26975.080882492013,1652.88269,1878.6,26911.720703
313,2023-09-30,26911.720703,10396435377.0,4288.05,26651.02304691998,28310.39173835,55.441248675754004,23.53940276157664,-43.486794489006115,67.02619725058275,27889.343582635716,27203.426258056345,26972.85771829931,1667.943848,1866.1,26967.916016
314,2023-10-01,26967.916016,5331172801.0,4288.05,26602.427070359983,28280.948086009997,56.21634214264981,52.59611641798983,-24.270212307606926,76.86632872559676,27890.65671042857,27200.243687217746,26972.684325236176,1671.161865,1866.1,27983.75
315,2023-10-02,27983.75,9503917434.0,4288.05,26573.782773479983,28253.830898509997,67.29224478668444,155.79715157992905,11.743260469900271,144.0538911100288,27898.1789342,27210.831610363453,27008.16031382438,1733.810425,1866.1,27530.785156
316,2023-10-03,27530.785156,19793041322.0,4288.39,26538.740195339982,28223.651796939997,60.00324005205784,198.74324967455686,49.14325831083159,149.59999136372528,27900.593875607145,27215.15530692611,27026.49802758493,1663.627563,1847.2,27429.978516
317,2023-10-04,27429.978516,11407814187.0,4229.45,26499.170898479988,28193.148964909997,58.484943460457096,222.08404186066764,83.7314150207988,138.35262683986883,27903.403362214285,27218.058323264948,27040.655237704756,1656.685669,1841.5,27799.394531
318,2023-10-05,27799.394531,11143355314.0,4263.75,26471.751835979987,28168.431601629993,62.25424825828158,267.30919885137337,120.44697178691372,146.86222706445966,27906.264732192856,27225.91421796407,27067.27766904845,1647.838135,1834.8,27415.912109
319,2023-10-06,27415.912109,11877253670.0,4258.19,26446.034492219984,28135.709082089994,56.517653497799294,269.1045651221357,150.17849045395812,118.92607466817756,27910.43404022857,27228.48175703212,27079.51045641517,1611.47644,1831.8,27946.597656
320,2023-10-07,27946.597656,13492391599.0,4308.5,26471.675429719984,28114.31259770999,61.768007566403696,309.7783622160714,182.09846480638078,127.67989740969062,27917.980245585713,27238.18602593709,27109.934568681303,1645.831543,1845.2,27968.839844
321,2023-10-08,27968.839844,6553044316.0,4308.5,26510.061093779983,28089.547480519992,61.97524441587044,339.8893651105682,213.65664486721826,126.23272024334992,27923.974916342857,27248.059726181185,27140.071595885467,1634.51123,1845.2,27935.089844
322,2023-10-09,27935.089844,7916875290.0,4308.5,26546.838789099987,28064.12585942999,61.43110606279666,356.9149159240842,242.30829907859146,114.60661684549274,27932.412514,27257.34391696252,27167.96697301229,1633.548584,1845.2,27583.677734
323,2023-10-10,27583.677734,12007668568.0,4335.66,26574.720664099987,28034.06185551999,55.9252292254579,338.1537413657388,261.47738753602096,76.67635382971787,27937.643945357144,27261.753833408973,27182.55331550309,1579.806641,1864.3,27391.019531
324,2023-10-11,27391.019531,9973350678.0,4358.24,26600.058242219984,28001.76435551999,53.114575538661256,304.2324660010454,270.02840322902586,34.20406277201954,27938.824609414285,27263.500667160202,27189.867919555614,1567.713013,1875.3,26873.320313
325,2023-10-12,26873.320313,13648094333.0,4376.95,26616.891523479982,27958.93316411999,46.370586702116384,232.89098824236862,262.60092023169443,-29.70993198932581,27942.671051942856,27258.227959671553,27178.76098599226,1566.254761,1887.3,26756.798828
326,2023-10-13,26756.798828,9392909295.0,4349.61,26623.39468753998,27918.725332089994,44.9860818507922,165.04747850844797,243.09023188704515,-78.04275337859718,27944.675279064286,27251.45189032464,27163.955296238146,1539.612427,1883.0,26862.375
327,2023-10-14,26862.375,15165312851.0,4327.78,26637.39472659998,27882.207421929994,46.54347130083055,118.43487943477157,218.15916139659043,-99.72428196181886,27945.69730752143,27246.19409450944,27153.37353145786,1552.089478,1941.5,26861.707031
328,2023-10-15,26861.707031,5388116782.0,4327.78,26653.67550783998,27851.731113329995,46.5344954683037,80.51206634359914,190.6297423859922,-110.11767604239304,27945.649832628573,27240.998323380933,27143.13961916109,1555.256836,1941.5,27159.652344
329,2023-10-16,27159.652344,7098201980.0,4327.78,26676.699296899977,27819.904980519997,51.067425063004556,73.65066149617269,167.2339262080283,-93.5832647118556,27939.035588771432,27239.899053389297,27143.71901301509,1558.069824,1941.5,28519.466797
330,2023-10-17,28519.466797,27833876539.0,4373.63,26725.29476565998,27802.174238329997,65.46039572211193,175.9108201998024,168.9693050063831,6.941515193419292,27944.561174707145,27257.190509384036,27191.990865084736,1600.534302,1934.3,28415.748047
331,2023-10-18,28415.748047,14872527508.0,4373.2,26771.48671877998,27784.619375049995,63.91611918614404,245.75063604794923,184.32557121469634,61.42506483325289,27949.656877835714,27272.84669232479,27234.92971357299,1565.439575,1935.7,28328.341797
332,2023-10-19,28328.341797,12724128586.0,4314.6,26783.50570315998,27763.75808598999,62.5763603101814,290.6952850908201,205.5995139899211,85.09577110089901,27957.576046364284,27287.11013968527,27273.29504983359,1563.749878,1968.3,28719.806641
333,2023-10-20,28719.806641,14448058195.0,4278.0,26811.95652347998,27744.74664067999,66.01249723909392,353.8235271945996,235.2443166308568,118.5792105637428,27971.14628911428,27306.47090321655,27324.049842506094,1567.457031,1980.5,29682.949219
334,2023-10-21,29682.949219,21536125230.0,4224.16,26886.986054739984,27737.659668029988,72.6630408112308,476.0826857523207,283.4119904551496,192.6706952971711,27988.52742750714,27338.58547505146,27406.818241681318,1604.66687,1994.4,29918.412109
335,2023-10-22,29918.412109,11541146996.0,4224.16,26969.339804739986,27722.08330083999,74.0023725904336,585.2276965225901,343.7751316686377,241.45256485395242,28008.836593242853,27373.447997131843,27494.944342288993,1629.304443,1994.4,29993.896484
336,2023-10-23,29993.896484,10446520040.0,4224.16,27051.841757859984,27718.68158208999,74.43479336799403,670.0924534335136,409.0385960216129,261.0538574119007,28029.3710938,27408.859463170604,27582.626873577097,1663.429932,1994.4,33086.234375
337,2023-10-24,33086.234375,38363572311.0,4217.04,27194.175117239985,27746.58585942999,85.2549514636638,975.6277790311506,522.3564326235204,453.2713464076302,28081.700641792857,27485.580745762894,27775.73590871474,1765.38269,1987.8,33901.527344
338,2023-10-25,33901.527344,44934999645.0,4247.68,27355.957343799982,27783.10980473999,86.83677502959691,1268.9266581058655,671.6704777199894,597.2561803858761,28129.291671371426,27572.28272682015,27990.675959075626,1784.4375,1986.1,34502.820313
339,2023-10-26,34502.820313,25254318008.0,4186.77,27530.414101619983,27826.67912114999,87.87029568596529,1532.2249152144796,843.7813652188875,688.4435499955921,28187.55468755714,27665.938640146906,28219.172252195778,1787.397583,1994.9,34156.648438
340,2023-10-27,34156.648438,19427195376.0,4137.23,27698.48234381998,27869.679980529992,83.79136378757713,1693.43662046807,1013.7124162687239,679.7242041993461,28242.186342135716,27753.65093471249,28427.504749943295,1804.039307,1997.4,33909.800781
341,2023-10-28,33909.800781,16418032871.0,4117.37,27851.874453179982,27909.638750059992,80.90724148289502,1780.752113536062,1167.1203557221916,613.6317578138705,28295.253669142858,27836.84214885151,28619.8660141909,1780.045288,1998.5,34089.574219
342,2023-10-29,34089.574219,10160330825.0,4117.37,28015.55285161998,27952.61433599999,81.40911657209627,1843.2091175347923,1302.3381080847116,540.8710094500807,28354.09891189286,27921.33852817784,28811.78560032455,1776.618164,1998.5,34538.480469
343,2023-10-30,34538.480469,11160323986.0,4117.37,28188.408906319983,27998.911699279994,82.63649680019446,1906.9476207527732,1423.260010618324,483.6876101344492,28415.51542975,28010.759365215978,29012.722262383337,1795.546021,1998.5,34502.363281
344,2023-10-31,34502.363281,17184860315.0,4166.82,28361.811640679985,28046.217304749993,82.16647638738418,1932.27245447908,1525.0624993904753,407.2099550886046,28476.943024614287,28098.4837424563,29205.341245492695,1810.088623,2005.6,34667.78125
345,2023-11-01,34667.78125,15758270810.0,4193.8,28551.914179739986,28092.04972661999,82.65312938055328,1943.289384931555,1608.7078764986913,334.58150843286376,28539.436258428574,28187.258033098784,29397.005807054353,1816.458984,1994.3,35437.253906
346,2023-11-02,35437.253906,22446272005.0,4237.86,28743.992382859982,28154.653105519992,84.73930869846052,1991.1575692697406,1685.1978150529012,305.9597542168394,28613.09753075,28285.230950300152,29608.94433684192,1847.089722,1987.5,34938.242188
347,2023-11-03,34938.242188,20998158544.0,4317.78,28918.19074223998,28211.76162114999,78.1734433192194,1966.1626755715115,1741.3907871566232,224.77188841488828,28679.967871157147,28375.136507566367,29795.937243900098,1800.620972,1993.5,34732.324219
348,2023-11-04,34732.324219,17158456701.0,4358.34,29082.04375005998,28265.535136779992,75.57129465231898,1907.7468647416026,1774.662002673619,133.08486206798352,28740.002594928577,28461.044449612767,29969.143804429918,1832.795166,1999.2,35082.195313
349,2023-11-05,35082.195313,9561294264.0,4358.34,29251.513789139983,28324.250195379995,76.97376685237406,1868.148731393474,1793.3593484175901,74.78938297588388,28801.227734442862,28550.519461280164,30148.549120520096,1857.698608,1999.2,35049.355469
350,2023-11-06,35049.355469,12412743996.0,4358.34,29421.135273519983,28381.55128912999,76.52964594331506,1813.2154059567038,1797.330559925413,15.884846031290863,28863.464467142865,28638.341569492593,30320.507238010618,1894.157715,1999.2,35037.371094
351,2023-11-07,35037.371094,12693436420.0,4365.98,29591.198945399985,28438.35582037999,76.35650351623346,1748.55703382297,1787.5758547049243,-39.0188208819543,28921.93833712144,28724.814941445395,30486.011232957615,1899.837402,1988.6,35443.5625
352,2023-11-08,35443.5625,18834737789.0,4378.38,29764.984570399985,28500.038359439994,78.16004279065196,1710.374922415369,1772.1356682470132,-61.76074583164427,28972.767438685725,28815.60882737181,30659.96040022226,1888.124268,1973.5,35655.277344
353,2023-11-09,35655.277344,17295394918.0,4382.78,29933.86777351999,28564.29001959999,79.05677490696696,1677.8576440827455,1753.2800634141597,-75.42241933141418,29012.96729917858,28908.036780299215,30835.234678951303,1889.322388,1957.8,36693.125
354,2023-11-10,36693.125,37762672382.0,4347.35,30125.090117259988,28634.463945379994,82.78770213025243,1716.0515251374381,1745.8343557588155,-29.782830621377343,29061.40189739287,29013.240675160036,31040.77469021617,2120.561035,1969.8,37313.96875
355,2023-11-11,37313.96875,22711265155.0,4415.24,30340.01683599999,28716.08404303999,84.55969686709346,1775.9453604351293,1751.8565566940783,24.088803741050924,29108.676897392867,29125.412676171385,31260.88676248929,2078.289795,1937.7,37138.050781
356,2023-11-12,37138.050781,13924272142.0,4415.24,30551.186484439993,28795.67775396999,81.98416961878748,1788.5986941477386,1759.2049841848104,29.393709962928142,29155.743722164294,29233.69156947988,31467.10304384054,2052.713867,1937.7,37054.519531
357,2023-11-13,37054.519531,11545715999.0,4415.24,30760.68906255999,28875.48203130999,80.72685425552426,1771.4659220519388,1761.657171758236,9.808750293702815,29202.70270653572,29339.378433824746,31663.15274514438,2045.187012,1937.7,36502.355469
358,2023-11-14,36502.355469,19057712790.0,4411.55,30965.599648499992,28950.08431646999,72.78107450224165,1693.8078885745854,1748.087315121506,-54.279426546920604,29247.21145375001,29436.175420786574,31832.949331946333,2055.265381,1950.2,35537.640625
